File version	
File path	C:\Users\Vincent\Desktop\Data\AbductionRight_9397.csv
Subject's name	001
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	12/11/2020 - 11:20:34.949
Configuration information	
samplingRatesIndex	6	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	1	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132521268427958046,2860,2127,2256,1633,1671,1931,-664,260,-173
132521268428070257,2891,2010,2256,1658,1781,1963,-699,254,-114
132521268428484050,2932,1923,2139,1699,1781,1939,-699,254,-114
132521268428545269,2958,2042,2176,1644,1691,1906,-699,254,-114
132521268428673544,2915,2110,2204,1620,1653,1941,-743,244,-65
132521268429444545,2905,2103,2104,1667,1684,1951,-743,244,-65
132521268429456995,2944,2063,1991,1703,1735,1971,-743,244,-65
132521268429473875,3007,2030,2019,1641,1827,1996,-743,244,-65
132521268429557085,2969,2031,2126,1626,1823,1974,-771,217,-7
132521268429856973,3010,2005,2097,1682,1732,1961,-771,217,-7
132521268429872070,3136,2032,2033,1684,1751,1949,-771,217,-7
132521268430183834,3054,2041,2025,1657,1826,1963,-780,186,59
132521268430458084,3031,2096,2018,1672,1827,1946,-780,186,59
132521268430494138,3065,2113,1955,1688,1794,1945,-780,186,59
132521268430756106,3143,2127,1908,1695,1854,1946,-780,186,59
132521268431053773,3046,2085,1836,1706,1901,1946,-784,176,108
132521268431344676,3023,2065,1797,1701,1923,1943,-784,176,108
132521268431517874,3023,2081,1748,1691,1913,1926,-784,176,108
132521268431540737,3083,2114,1830,1663,1934,1919,-779,179,146
132521268431694319,3052,2109,1875,1662,1963,1918,-779,179,146
132521268431956668,3031,2136,1855,1683,1967,1900,-779,179,146
132521268432392307,2996,2207,1886,1678,1913,1892,-779,179,146
132521268432457348,2990,2245,1875,1690,1880,1908,-763,177,170
132521268432534356,2998,2215,1860,1716,1882,1923,-763,177,170
132521268432683565,3029,2207,1854,1745,1887,1920,-763,177,170
132521268432757688,3035,2167,1884,1729,1845,1911,-746,183,191
132521268433047477,2931,2134,1954,1716,1738,1903,-746,183,191
132521268433269113,2920,2163,1933,1755,1657,1875,-746,183,191
132521268433435017,2954,2190,1917,1800,1656,1883,-746,183,191
132521268433681574,3025,2197,1938,1842,1711,1880,-734,170,222
132521268433775233,3053,2178,1919,1851,1705,1882,-734,170,222
132521268434033708,3030,2182,1866,1865,1670,1877,-734,170,222
132521268434386477,3051,2139,1914,1878,1617,1869,-722,166,250
132521268434393152,2978,2147,1924,1907,1634,1876,-722,166,250
132521268434658418,2950,2170,1850,1928,1718,1879,-722,166,250
132521268434956192,2902,2207,1795,1949,1751,1892,-722,166,250
132521268434968049,2885,2198,1648,1968,1759,1901,-719,164,255
132521268435185161,2854,2190,1598,1985,1765,1912,-719,164,255
132521268435453074,2841,2145,1499,1992,1786,1916,-719,164,255
132521268435559930,2882,2143,1544,1966,1765,1894,-731,171,236
132521268435744226,2801,2178,1600,1945,1685,1886,-731,171,236
132521268435859220,2833,2198,1631,1966,1602,1862,-731,171,236
132521268436144445,2854,2227,1555,1981,1571,1863,-731,171,236
132521268436447418,2833,2217,1512,1986,1623,1874,-731,171,233
132521268436460941,2837,2258,1544,1967,1705,1887,-731,171,233
132521268436877901,2883,2258,1651,1939,1747,1914,-731,171,233
132521268436968748,2927,2165,1819,1939,1755,1935,-739,161,240
132521268437193077,2985,2189,1950,1969,1748,1936,-739,161,240
132521268437380132,3080,2172,2058,2001,1767,1963,-739,161,240
132521268437546572,3128,2135,2155,2018,1814,1959,-739,161,240
132521268437618829,3159,2163,2263,2018,1810,1945,-752,152,223
132521268437844721,3218,2203,2354,2064,1768,1923,-752,152,223
132521268438144987,3319,2255,2404,2131,1768,1928,-752,152,223
132521268438642227,3308,2187,2411,2191,1791,1925,-763,150,179
132521268438655506,3322,2207,2329,2251,1727,1918,-763,150,179
132521268438919923,3367,2257,2246,2285,1645,1911,-763,150,179
132521268439191601,3383,2268,2202,2300,1661,1918,-763,150,179
132521268439209967,3373,2282,2212,2325,1718,1919,-791,146,113
132521268439459206,3388,2267,2163,2364,1749,1934,-791,146,113
132521268439527110,3427,2251,2126,2371,1723,1917,-791,146,113
132521268439644321,3403,2252,2147,2361,1648,1898,-802,138,3
132521268439809037,3363,2349,2135,2391,1575,1881,-802,138,3
132521268439955329,3321,2368,2054,2407,1606,1898,-802,138,3
132521268440230701,3307,2320,2071,2403,1694,1916,-802,138,3
132521268440482295,3286,2287,2140,2397,1725,1919,-787,154,-107
132521268440671646,3242,2248,2103,2407,1677,1914,-787,154,-107
132521268440944977,3200,2255,2112,2402,1601,1904,-787,154,-107
132521268441044972,3168,2261,2107,2407,1606,1901,-727,162,-222
132521268441181180,3103,2204,2064,2410,1667,1897,-727,162,-222
132521268441575250,2987,2203,2029,2374,1668,1901,-727,162,-222
132521268442070168,2897,2271,2120,2347,1615,1887,-727,162,-222
132521268442074440,2883,2209,2146,2342,1574,1878,-644,184,-271
132521268442344371,2747,2252,2057,2332,1527,1872,-644,184,-271
132521268442558228,2674,2228,2044,2314,1565,1893,-644,184,-271
132521268442568980,2579,2229,2007,2282,1647,1907,-591,210,-293
132521268442645941,2451,2214,2004,2259,1682,1918,-591,210,-293
132521268442957179,2400,2211,1999,2240,1652,1921,-591,210,-293
132521268442968846,2305,2179,1971,2202,1575,1915,-551,226,-335
132521268443244791,2177,2179,1977,2148,1519,1907,-551,226,-335
132521268443392543,2130,2124,1933,2135,1567,1909,-551,226,-335
132521268443545588,2074,2076,1881,2121,1622,1918,-551,226,-335
132521268443854580,2007,2008,1822,2104,1646,1902,-524,248,-346
132521268444002815,1949,2008,1852,2035,1646,1883,-524,248,-346
132521268444096552,1939,1981,1969,1975,1623,1866,-524,248,-346
132521268444368330,1965,1972,2054,1934,1625,1863,-507,263,-340
132521268444667859,1971,1988,2185,1924,1681,1859,-507,263,-340
132521268444931439,1955,2001,2211,1937,1729,1864,-507,263,-340
132521268445154850,1961,2042,2192,1956,1731,1851,-507,263,-340
132521268445174715,1927,2156,2107,1908,1702,1869,-501,272,-336
132521268445271751,1918,2083,2103,1853,1731,1905,-501,272,-336
132521268445557633,1959,1958,2079,1843,1795,1912,-501,272,-336
132521268445845821,1986,1966,2074,1820,1816,1881,-503,270,-333
132521268446155757,2022,2079,2082,1775,1739,1858,-503,270,-333
132521268446252845,2039,2102,2095,1734,1702,1862,-503,270,-333
132521268446446268,2113,2168,2194,1715,1721,1871,-503,270,-333
132521268446546092,2151,2127,2206,1709,1755,1898,-530,269,-314
132521268446753425,2206,2054,2163,1709,1767,1902,-530,269,-314
132521268446845631,2308,2038,2124,1702,1748,1882,-530,269,-314
132521268447131130,2301,2121,2204,1649,1722,1895,-554,255,-294
132521268447353575,2333,2092,2212,1655,1776,1938,-554,255,-294
132521268447380941,2508,1927,2119,1696,1886,1948,-554,255,-294
132521268447631331,2603,1942,2117,1664,1929,1896,-554,255,-294
132521268447852634,2611,2009,2312,1596,1912,1883,-592,243,-272
132521268448070418,2640,2086,2359,1592,1793,1845,-592,243,-272
132521268448205877,2727,2134,2356,1602,1724,1832,-592,243,-272
132521268448357778,2793,2201,2366,1588,1739,1839,-614,235,-248
132521268448646515,2774,2195,2389,1564,1743,1874,-614,235,-248
132521268448780463,2756,2070,2276,1583,1740,1884,-614,235,-248
132521268449195575,2889,2162,2330,1579,1772,1872,-614,235,-248
132521268449205581,2895,2220,2414,1562,1749,1879,-667,241,-204
132521268449481875,2847,2168,2324,1602,1702,1896,-667,241,-204
132521268449827540,2955,2143,2265,1623,1774,1925,-667,241,-204
132521268450085996,2946,2134,2274,1605,1891,1930,-716,231,-164
132521268450095481,2975,2174,2318,1615,1874,1911,-716,231,-164
132521268450277775,3056,2141,2351,1625,1802,1911,-716,231,-164
132521268450446753,3075,2127,2314,1634,1811,1912,-716,231,-164
132521268450931834,3019,2134,2228,1641,1830,1906,-762,198,-110
132521268450953016,3027,2177,2231,1630,1787,1896,-762,198,-110
132521268451246447,3101,2211,2237,1640,1752,1908,-762,198,-110
132521268451256696,3120,2180,2226,1657,1786,1905,-788,190,-48
132521268451483728,3070,2163,2152,1670,1778,1899,-788,190,-48
132521268451580408,3015,2191,2085,1664,1746,1906,-788,190,-48
132521268451722216,3054,2167,2171,1656,1801,1927,-788,190,-48
132521268451952947,3015,2135,2158,1686,1839,1931,-785,180,21
132521268452246782,3068,2148,2055,1726,1839,1922,-785,180,21
132521268452256429,3068,2160,2017,1739,1809,1902,-785,180,21
132521268452531513,3015,2196,1938,1738,1768,1904,-784,168,59
132521268452846791,3004,2188,1879,1743,1757,1899,-784,168,59
132521268452856836,2988,2215,1851,1728,1755,1891,-784,168,59
132521268453142515,2968,2218,1837,1719,1745,1897,-784,168,59
132521268453420183,2941,2215,1813,1725,1739,1896,-783,166,110
132521268453569784,2949,2284,1826,1717,1723,1895,-783,166,110
132521268453708406,2970,2282,1866,1727,1737,1923,-783,166,110
132521268454004194,2938,2215,1846,1731,1771,1939,-780,158,145
132521268454071678,2979,2144,1843,1736,1751,1935,-780,158,145
132521268454257866,2981,2138,1888,1742,1725,1924,-780,158,145
132521268454555618,2953,2184,1896,1762,1729,1913,-780,158,145
132521268454744806,2941,2196,1835,1799,1757,1918,-764,155,190
132521268455032733,2971,2183,1784,1821,1786,1935,-764,155,190
132521268455256514,3025,2131,1757,1817,1815,1941,-764,155,190
132521268455359107,3019,2074,1773,1801,1811,1933,-758,148,205
132521268455493283,2977,2120,1811,1808,1796,1910,-758,148,205
132521268455841351,2962,2219,1821,1833,1796,1899,-758,148,205
132521268455893428,2950,2280,1827,1851,1833,1905,-758,148,205
132521268456042933,2929,2299,1830,1864,1868,1918,-750,146,210
132521268456443608,2917,2269,1838,1873,1837,1917,-750,146,210
132521268456740692,2901,2210,1772,1887,1762,1910,-750,146,210
132521268456993543,2880,2211,1712,1908,1717,1890,-750,137,215
132521268457241407,2863,2267,1659,1916,1711,1884,-750,137,215
132521268457268355,2880,2302,1678,1916,1726,1882,-750,137,215
132521268457282262,2840,2283,1683,1909,1716,1891,-750,137,215
132521268457656066,2849,2246,1681,1926,1680,1883,-750,137,215
132521268457671416,2881,2238,1626,1936,1661,1879,-750,137,215
132521268457908212,2869,2232,1616,1949,1674,1876,-750,137,215
132521268458146657,2868,2247,1576,1947,1694,1873,-749,142,225
132521268458231982,2835,2217,1555,1953,1688,1882,-749,142,225
132521268458344561,2850,2220,1546,1959,1677,1888,-749,142,225
132521268458679175,2873,2185,1519,1943,1686,1880,-754,143,221
132521268458817051,2866,2207,1516,1935,1684,1875,-754,143,221
132521268458943190,2824,2224,1525,1931,1656,1864,-754,143,221
132521268459255062,2822,2230,1521,1913,1634,1864,-754,143,221
132521268459358373,2812,2212,1544,1915,1659,1875,-751,143,217
132521268459543559,2833,2210,1542,1933,1711,1880,-751,143,217
132521268459941060,2809,2244,1480,1933,1741,1887,-751,143,217
132521268459957183,2794,2251,1488,1921,1742,1899,-751,140,222
132521268460243334,2852,2213,1526,1917,1753,1894,-751,140,222
132521268460544066,2859,2188,1555,1910,1743,1890,-751,140,222
132521268460793127,2843,2195,1526,1912,1704,1881,-751,140,222
132521268460807933,2822,2172,1507,1911,1691,1878,-751,141,223
132521268460957492,2815,2242,1480,1910,1714,1877,-751,141,223
132521268461067683,2840,2253,1511,1905,1760,1884,-751,141,223
132521268461382255,2820,2259,1587,1892,1761,1894,-743,149,228
132521268461541110,2818,2253,1576,1890,1738,1902,-743,149,228
132521268461658221,2833,2216,1610,1904,1728,1904,-743,149,228
132521268461893793,2832,2201,1572,1906,1739,1901,-743,149,228
132521268462155489,2837,2211,1551,1913,1752,1895,-746,143,233
132521268462243844,2859,2231,1542,1906,1759,1889,-746,143,233
132521268462684360,2879,2195,1548,1893,1734,1888,-746,143,233
132521268462704865,2858,2196,1571,1887,1717,1890,-747,137,232
132521268463033490,2842,2217,1571,1909,1726,1883,-747,137,232
132521268463042784,2836,2244,1548,1922,1745,1883,-747,137,232
132521268463341052,2849,2239,1547,1914,1758,1885,-747,137,232
132521268463442244,2856,2241,1578,1905,1745,1885,-740,144,235
132521268463745076,2827,2225,1573,1905,1707,1882,-740,144,235
132521268464140276,2879,2220,1573,1914,1695,1886,-740,144,235
132521268464445860,2855,2228,1573,1936,1716,1883,-745,138,245
132521268464457715,2867,2255,1514,1927,1731,1887,-745,138,245
132521268464754699,2838,2229,1565,1920,1737,1893,-745,138,245
132521268464818482,2838,2230,1621,1915,1722,1901,-745,138,245
132521268465094814,2912,2201,1682,1911,1708,1904,-746,145,237
132521268465283056,2971,2190,1774,1936,1729,1883,-746,145,237
132521268465291732,3003,2203,1898,1973,1766,1880,-746,145,237
132521268465442793,3007,2296,1998,1989,1757,1879,-743,146,236
132521268465632434,3028,2352,2095,1965,1708,1909,-743,146,236
132521268465933057,3128,2359,2261,1969,1705,1955,-743,146,236
132521268466074322,3173,2237,2330,2033,1741,1963,-743,146,236
132521268466158373,3239,2197,2350,2125,1724,1928,-759,143,225
132521268466482313,3312,2198,2299,2189,1677,1901,-759,143,225
132521268466680527,3332,2251,2218,2233,1668,1886,-759,143,225
132521268466794291,3318,2291,2171,2265,1700,1892,-777,133,168
132521268467168281,3356,2329,2211,2265,1745,1909,-777,133,168
132521268467181859,3430,2273,2294,2261,1725,1919,-777,133,168
132521268467443656,3462,2263,2333,2304,1667,1904,-777,133,168
132521268467766576,3491,2269,2281,2375,1643,1904,-799,125,96
132521268468066075,3514,2239,2182,2425,1686,1892,-799,125,96
132521268468333769,3498,2243,2140,2426,1665,1865,-799,125,96
132521268468441971,3468,2325,2093,2418,1564,1845,-793,134,-26
132521268468466702,3425,2408,2136,2409,1522,1843,-793,134,-26
132521268468486029,3385,2427,2165,2423,1606,1877,-793,134,-26
132521268468767074,3355,2350,2161,2452,1713,1910,-793,134,-26
132521268469039916,3341,2223,2078,2467,1707,1915,-766,161,-146
132521268469108760,3279,2257,2067,2451,1567,1895,-766,161,-146
132521268469359488,3222,2223,2010,2430,1521,1892,-766,161,-146
132521268469655334,3081,2263,2005,2427,1575,1893,-687,189,-227
132521268469672763,3024,2278,1957,2424,1666,1906,-687,189,-227
132521268470083139,2928,2263,1965,2409,1685,1921,-687,189,-227
132521268470092623,2793,2226,1969,2393,1648,1915,-687,189,-227
132521268470370641,2685,2165,1926,2366,1621,1910,-622,189,-283
132521268470656894,2599,2199,1903,2344,1631,1902,-622,189,-283
132521268470743531,2470,2174,1869,2309,1641,1914,-622,189,-283
132521268470859785,2351,2219,1822,2278,1647,1902,-564,214,-337
132521268471255506,2215,2223,1794,2221,1618,1896,-564,214,-337
132521268471544303,2099,2156,1744,2170,1603,1914,-564,214,-337
132521268471554740,2048,2139,1799,2125,1610,1907,-564,214,-337
132521268471866090,1999,2112,1798,2080,1641,1912,-528,233,-351
132521268471882549,1969,2024,1851,2027,1691,1919,-528,233,-351
132521268472074712,1963,1967,1954,2009,1719,1902,-528,233,-351
132521268472244410,1940,2037,2032,1974,1712,1876,-511,236,-354
132521268472544465,1948,2040,2092,1945,1706,1866,-511,236,-354
132521268472644610,1941,2125,2178,1914,1679,1847,-511,236,-354
132521268472858039,1949,2127,2245,1890,1672,1862,-511,236,-354
132521268473044416,1933,2072,2222,1894,1703,1879,-511,236,-354
132521268473193384,1965,2003,2106,1888,1748,1863,-511,236,-354
132521268473457400,1970,2052,2110,1849,1718,1837,-511,236,-354
132521268473733930,1997,2078,2119,1807,1671,1843,-512,257,-344
132521268473744584,2017,2084,2129,1771,1687,1842,-512,257,-344
132521268474053045,2034,2067,2151,1768,1769,1878,-512,257,-344
132521268474244766,2069,2132,2111,1771,1833,1875,-525,255,-344
132521268474383338,2159,2054,2102,1744,1771,1883,-525,255,-344
132521268474668322,2228,2079,2076,1708,1732,1863,-525,255,-344
132521268474919629,2235,2092,2106,1659,1722,1876,-525,255,-344
132521268474929344,2290,2101,2051,1652,1718,1871,-552,251,-311
132521268475240675,2371,2078,2021,1638,1709,1867,-552,251,-311
132521268475505194,2527,2113,2094,1609,1761,1857,-552,251,-311
132521268475755076,2446,2180,2184,1553,1749,1872,-589,241,-279
132521268475851859,2576,2222,2133,1565,1631,1833,-589,241,-279
132521268476072538,2688,2252,2209,1542,1634,1875,-589,241,-279
132521268476145306,2679,2267,2254,1506,1698,1925,-589,241,-279
132521268476441135,2731,2162,2195,1556,1739,1950,-626,247,-212
132521268476493463,2879,2099,2096,1590,1811,1957,-626,247,-212
132521268476770439,2929,2027,2181,1519,1870,1966,-626,247,-212
132521268477040586,2964,1983,2242,1532,1895,1939,-671,239,-175
132521268477181095,2979,2070,2221,1536,1822,1900,-671,239,-175
132521268477294170,3039,2119,2214,1542,1740,1888,-671,239,-175
132521268477471120,3073,2143,2158,1552,1782,1903,-671,239,-175
132521268477780983,3080,2127,2133,1553,1861,1912,-728,223,-129
132521268477971156,3063,2158,2147,1553,1825,1902,-728,223,-129
132521268478081277,3267,2184,2178,1577,1790,1907,-728,223,-129
132521268478644416,3227,2161,2171,1568,1815,1940,-773,195,-49
132521268478942352,3167,2117,2166,1554,1844,1953,-773,195,-49
132521268479195272,3150,2071,2213,1570,1833,1951,-773,195,-49
132521268479276239,3318,2057,2147,1618,1773,1920,-773,195,-49
132521268479280388,3335,2157,2158,1602,1767,1906,-798,181,28
132521268479345207,3233,2169,2128,1615,1773,1906,-798,181,28
132521268479654436,3140,2171,2080,1621,1761,1905,-798,181,28
132521268479830717,3160,2148,2085,1631,1794,1931,-778,173,93
132521268479843980,3142,2139,2113,1657,1893,1937,-778,173,93
132521268480143043,3097,2161,2063,1694,1922,1919,-778,173,93
132521268480342025,3099,2163,1968,1696,1822,1917,-778,173,93
132521268480406209,3158,2170,1955,1721,1773,1902,-780,162,137
132521268480668612,3199,2181,1947,1717,1804,1905,-780,162,137
132521268480978512,3051,2163,1958,1732,1836,1896,-780,162,137
132521268480993741,2987,2221,1934,1744,1804,1874,-764,164,173
132521268481253779,2931,2235,1911,1760,1772,1885,-764,164,173
132521268481455701,2963,2223,1903,1797,1783,1892,-764,164,173
132521268481656314,2973,2253,1897,1810,1815,1899,-764,164,173
132521268481843946,2910,2223,1834,1837,1827,1907,-748,162,199
132521268482144732,2912,2192,1786,1840,1794,1918,-748,162,199
132521268482154305,2931,2177,1766,1851,1770,1928,-748,162,199
132521268482470012,2957,2138,1742,1853,1769,1922,-741,156,208
132521268482755588,2914,2122,1782,1853,1760,1894,-741,156,208
132521268482772984,2879,2168,1760,1880,1731,1872,-741,156,208
132521268483233649,2900,2177,1665,1895,1688,1876,-741,156,208
132521268483244072,2898,2205,1671,1908,1703,1874,-741,164,213
132521268483545157,2904,2199,1670,1897,1748,1881,-741,164,213
132521268483652752,2882,2196,1682,1894,1724,1877,-741,164,213
132521268483855828,2926,2218,1645,1894,1686,1884,-732,157,223
132521268484030558,2894,2217,1647,1906,1698,1894,-732,157,223
132521268484228943,2879,2210,1600,1918,1732,1895,-732,157,223
132521268484445871,2858,2218,1583,1914,1749,1898,-732,157,223
132521268484546281,2844,2211,1618,1911,1743,1901,-741,152,222
132521268484731711,2823,2212,1597,1918,1731,1899,-741,152,222
132521268484981961,2826,2207,1572,1940,1732,1904,-741,152,222
132521268485144969,2842,2207,1506,1948,1756,1909,-737,164,222
132521268485357490,2843,2178,1515,1939,1757,1908,-737,164,222
132521268485796334,2834,2161,1520,1928,1738,1906,-737,164,222
132521268485805139,2825,2181,1520,1923,1722,1899,-737,164,222
132521268486068414,2813,2191,1515,1918,1714,1898,-740,156,215
132521268486355657,2828,2173,1509,1923,1730,1901,-740,156,215
132521268486370569,2828,2175,1498,1926,1737,1899,-740,156,215
132521268486572189,2835,2176,1477,1922,1729,1899,-743,149,218
132521268486821268,2839,2207,1502,1912,1725,1893,-743,149,218
132521268486981373,2834,2177,1527,1902,1743,1900,-743,149,218
132521268487194111,2843,2169,1541,1910,1747,1891,-743,149,218
132521268487256068,2831,2202,1552,1904,1716,1885,-743,160,225
132521268487531220,2835,2212,1552,1908,1714,1886,-743,160,225
132521268487752936,2858,2205,1546,1920,1738,1883,-743,160,225
132521268487932454,2818,2204,1543,1920,1750,1888,-746,153,223
132521268488117436,2846,2197,1532,1916,1739,1892,-746,153,223
132521268488342234,2843,2207,1549,1915,1731,1891,-746,153,223
132521268488431247,2845,2210,1531,1919,1742,1893,-746,153,223
132521268488681559,2829,2188,1535,1919,1741,1893,-746,153,223
132521268488857066,2830,2211,1505,1921,1736,1891,-746,153,223
132521268489057266,2845,2205,1526,1919,1736,1896,-746,153,223
132521268489232616,2832,2177,1496,1913,1736,1890,-743,158,212
132521268489664425,2827,2197,1534,1920,1737,1888,-743,158,212
132521268489683013,2823,2207,1530,1925,1744,1892,-743,158,212
132521268489967397,2844,2204,1516,1923,1734,1890,-752,156,220
132521268489982177,2856,2203,1538,1911,1715,1890,-752,156,220
132521268490282716,2830,2211,1555,1917,1715,1887,-752,156,220
132521268490545820,2837,2225,1500,1930,1724,1884,-752,156,220
132521268490682400,2826,2211,1481,1925,1731,1883,-740,155,227
132521268490897993,2835,2237,1495,1912,1731,1887,-740,155,227
132521268491045274,2822,2222,1541,1905,1728,1889,-740,155,227
132521268491431877,2851,2230,1546,1918,1718,1889,-737,157,216
132521268491546891,2844,2209,1510,1925,1721,1888,-737,157,216
132521268491555253,2842,2218,1515,1918,1723,1892,-737,157,216
132521268491745868,2853,2187,1564,1911,1718,1887,-737,157,216
132521268492082186,2837,2190,1526,1918,1717,1886,-748,148,225
132521268492435490,2822,2185,1528,1921,1715,1884,-748,148,225
132521268492445268,2847,2186,1529,1918,1715,1887,-748,148,225
132521268492781371,2857,2206,1555,1919,1726,1885,-740,146,223
132521268492894663,2838,2185,1556,1927,1731,1889,-740,146,223
132521268492906035,2860,2189,1511,1930,1727,1884,-740,146,223
132521268493220402,2845,2179,1475,1929,1733,1886,-740,146,223
132521268493756286,2849,2179,1506,1918,1739,1885,-738,162,225
132521268493766957,2851,2191,1559,1916,1727,1885,-738,162,225
132521268493966565,2828,2198,1533,1921,1715,1880,-738,162,225
132521268493971239,2799,2213,1483,1923,1706,1884,-738,145,219
132521268494143347,2835,2211,1532,1927,1722,1886,-738,145,219
132521268494490754,2851,2227,1499,1927,1750,1887,-738,145,219
132521268494493642,2813,2205,1495,1920,1745,1890,-738,145,219
132521268494768649,2815,2189,1524,1915,1747,1893,-738,147,221
132521268494991339,2828,2189,1552,1921,1749,1895,-738,147,221
132521268495143162,2857,2166,1550,1925,1750,1894,-738,147,221
132521268495342385,2846,2160,1538,1925,1730,1888,-737,162,220
132521268495679704,2832,2200,1527,1916,1707,1883,-737,162,220
132521268495742643,2845,2218,1580,1910,1703,1885,-737,162,220
132521268496057114,2879,2236,1663,1914,1709,1890,-737,162,220
